Ticker,Monthly Return
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
GOOGL,-0.04756901435637373
META,0.09788769096463579
NFLX,0.1161772942410435
TMUS,0.09374420775919035
DIS,-0.035329331857562485
VZ,0.03109571340816175
CMCSA,-0.04119216729060271
TMUS,0.09374420775919035
SPOT,-0.0030819257750466234
NTES,-0.12669629025003748
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
TSLA,-0.07739046902676983
HD,0.0070029818109946795
TM,-0.019374838237523617
PDD,-0.2543253854800588
MCD,0.08764139262117943
BABA,0.05694353773821792
BKNG,0.05227976859955974
TJX,0.04118336389432109
LOW,0.012178752637627577
WMT,0.1283529200631799
COST,0.08562044389636547
PG,0.06705647640986001
KO,0.08585561193198932
PEP,0.0012162324965676596
PM,0.07059740356792776
UL,0.0634708439987377
BUD,0.032605018936285424
MDLZ,0.050621787296494025
MO,0.0971230830289398
WMT,0.1283529200631799
COST,0.08562044389636547
