DATE,WM1NS,,DATE,MORTGAGE15US,,,DATE,FEDFUNDS,M1_Avg,Mort_Avg
9/21/2009,1632.8,,9/17/2009,4.47,,,,,,
9/28/2009,1694.8,,9/24/2009,4.46,,,,,,
10/5/2009,1654.1,,10/1/2009,4.36,,,,,,
10/12/2009,1604.6,,10/8/2009,4.33,,,,,,
10/19/2009,1646.9,,10/15/2009,4.37,,,,,,
10/26/2009,1703.9,,10/22/2009,4.43,,,,,,
11/2/2009,1735.4,,10/29/2009,4.46,,,,,,
11/9/2009,1641.4,,11/5/2009,4.4,,,,,,
11/16/2009,1639.2,,11/12/2009,4.36,,,,,,
11/23/2009,1691,,11/19/2009,4.32,,,,,,
11/30/2009,1755.8,,11/25/2009,4.29,,,,,,
12/7/2009,1659.6,,12/3/2009,4.27,,,,,,
12/14/2009,1660.6,,12/10/2009,4.32,,,,,,
12/21/2009,1728.9,,12/17/2009,4.38,,,,,,
12/28/2009,1806.8,,12/24/2009,4.45,,,,,,
1/4/2010,1789.5,,12/31/2009,4.54,,,,,,
1/11/2010,1620.6,,1/7/2010,4.5,,,,,,
1/18/2010,1641.3,,1/14/2010,4.45,,,,,,
1/25/2010,1673.4,,1/21/2010,4.4,,,,,,
2/1/2010,1707.3,,1/28/2010,4.39,,,,,,
2/8/2010,1641.6,,2/4/2010,4.4,,,,,,
2/15/2010,1675.2,,2/11/2010,4.34,,,,,,
2/22/2010,1698.2,,2/18/2010,4.33,,,,,,
3/1/2010,1728.3,,2/25/2010,4.4,,,,,,
3/8/2010,1671.8,,3/4/2010,4.33,,,,,,
3/15/2010,1696.1,,3/11/2010,4.32,,,,,,
3/22/2010,1745,,3/18/2010,4.33,,,,,,
3/29/2010,1789.8,,3/25/2010,4.34,,,,,,
4/5/2010,1731.6,,4/1/2010,4.39,,,,,,
4/12/2010,1665.2,,4/8/2010,4.52,,,,,,
4/19/2010,1708.5,,4/15/2010,4.4,,,,,,
4/26/2010,1740.8,,4/22/2010,4.39,,,,,,
5/3/2010,1772.7,,4/29/2010,4.39,,,,,,
5/10/2010,1661.8,,5/6/2010,4.36,,,,,,
5/17/2010,1673.8,,5/13/2010,4.3,,,,,,
5/24/2010,1718.8,,5/20/2010,4.24,,,,,,
5/31/2010,1762.5,,5/27/2010,4.21,,,,,,
6/7/2010,1686.4,,6/3/2010,4.2,,,,,,
6/14/2010,1674.2,,6/10/2010,4.17,,,,,,
6/21/2010,1735.5,,6/17/2010,4.2,,,,,,
6/28/2010,1804.9,,6/24/2010,4.13,,,,,,
7/5/2010,1738.2,,7/1/2010,4.04,,,,,,
7/12/2010,1666.7,,7/8/2010,4.07,,,,,,
7/19/2010,1692.9,,7/15/2010,4.06,,,,,,
7/26/2010,1753.1,,7/22/2010,4.03,,,,,,
8/2/2010,1781.1,,7/29/2010,4,,,,,,
8/9/2010,1690.7,,8/5/2010,3.95,,,,,,
8/16/2010,1701.4,,8/12/2010,3.92,,,,,,
8/23/2010,1749.3,,8/19/2010,3.9,,,,,,
8/30/2010,1807.3,,8/26/2010,3.86,,,,,,
9/6/2010,1720.9,,9/2/2010,3.83,,,,,,
9/13/2010,1685.2,,9/9/2010,3.83,,,,,,
9/20/2010,1728.4,,9/16/2010,3.82,,,,,,
9/27/2010,1795.9,,9/23/2010,3.82,,,,,,
10/4/2010,1788.2,,9/30/2010,3.75,,,,,,
10/11/2010,1716,,10/7/2010,3.72,,,,,,
10/18/2010,1737.1,,10/14/2010,3.62,,,,,,
10/25/2010,1798.3,,10/21/2010,3.64,,,,,,
11/1/2010,1829.4,,10/28/2010,3.66,,,,,,
11/8/2010,1839.2,,11/4/2010,3.63,,,,,,
11/15/2010,1753,,11/11/2010,3.57,,,,,,
11/22/2010,1814.7,,11/18/2010,3.76,,,,,,
11/29/2010,1909.8,,11/24/2010,3.77,,,,,,
12/6/2010,1799.1,,12/2/2010,3.81,,,,,,
12/13/2010,1785.5,,12/9/2010,3.96,,,,,,
12/20/2010,1860.2,,12/16/2010,4.17,,,,,,
12/27/2010,1969.3,,12/23/2010,4.15,,,,,,
1/3/2011,1965,,12/30/2010,4.2,,,,,,
1/10/2011,1793.8,,1/6/2011,4.13,,,,,,
1/17/2011,1825.6,,1/13/2011,4.08,,,,,,
1/24/2011,1852.5,,1/20/2011,4.05,,,,,,
1/31/2011,1922,,1/27/2011,4.09,,,,,,
2/7/2011,1814.2,,2/3/2011,4.08,,,,,,
2/14/2011,1807.9,,2/10/2011,4.29,,,,,,
2/21/2011,1877.4,,2/17/2011,4.27,,,,,,
2/28/2011,1935.2,,2/24/2011,4.22,,,,,,
3/7/2011,1846.5,,3/3/2011,4.15,,,,,,
3/14/2011,1846.9,,3/10/2011,4.15,,,,,,
3/21/2011,1913.8,,3/17/2011,3.97,,,,,,
3/28/2011,1977.3,,3/24/2011,4.04,,,,,,
4/4/2011,1953.9,,3/31/2011,4.09,,,,,,
4/11/2011,1856.3,,4/7/2011,4.1,,,,,,
4/18/2011,1894.3,,4/14/2011,4.13,,,,,,
4/25/2011,1959.4,,4/21/2011,4.02,,,,,,
5/2/2011,1984,,4/28/2011,3.97,,,,,,
5/9/2011,1875.9,,5/5/2011,3.89,,,,,,
5/16/2011,1887.4,,5/12/2011,3.82,,,,,,
5/23/2011,1943.9,,5/19/2011,3.8,,,,,,
5/30/2011,2017.2,,5/26/2011,3.78,,,,,,
6/6/2011,1915,,6/2/2011,3.74,,,,,,
6/13/2011,1887.6,,6/9/2011,3.68,,,,,,
6/20/2011,1946,,6/16/2011,3.67,,,,,,
6/27/2011,2011.8,,6/23/2011,3.69,,,,,,
7/4/2011,2027.5,,6/30/2011,3.69,,,,,,
7/11/2011,1917,,7/7/2011,3.75,,,,,,
7/18/2011,1936.3,,7/14/2011,3.65,,,,,,
7/25/2011,2012.5,,7/21/2011,3.66,,,,,,
8/1/2011,2140.5,,7/28/2011,3.66,,,,,,
8/8/2011,2032.4,,8/4/2011,3.54,,,,,,
8/15/2011,2041.8,,8/11/2011,3.5,,,,,,
8/22/2011,2113,,8/18/2011,3.36,,,,,,
8/29/2011,2185,,8/25/2011,3.44,,,,,,
9/5/2011,2104.7,,9/1/2011,3.39,,,,,,
9/12/2011,2016.2,,9/8/2011,3.33,,,,,,
9/19/2011,2067.5,,9/15/2011,3.3,,,,,,
9/26/2011,2158.5,,9/22/2011,3.29,,,,,,
10/3/2011,2227.5,,9/29/2011,3.28,,,,,,
10/10/2011,2062.8,,10/6/2011,3.26,,,,,,
10/17/2011,2073.2,,10/13/2011,3.37,,,,,,
10/24/2011,2124.5,,10/20/2011,3.38,,,,,,
10/31/2011,2220.1,,10/27/2011,3.38,,,,,,
11/7/2011,2122.8,,11/3/2011,3.31,,,,,,
11/14/2011,2095.6,,11/10/2011,3.3,,,,,,
11/21/2011,2154.4,,11/17/2011,3.31,,,,,,
11/28/2011,2253.1,,11/23/2011,3.3,,,,,,
12/5/2011,2170.3,,12/1/2011,3.3,,,,,,
12/12/2011,2107.7,,12/8/2011,3.27,,,,,,
12/19/2011,2169.4,,12/15/2011,3.21,,,,,,
12/26/2011,2286.5,,12/22/2011,3.21,,,,,,
1/2/2012,2376.5,,12/29/2011,3.24,,,,,,
1/9/2012,2161.5,,1/5/2012,3.23,,,,,,
1/16/2012,2148.4,,1/12/2012,3.16,,,,,,
1/23/2012,2194.2,,1/19/2012,3.17,,,,,,
1/30/2012,2271.7,,1/26/2012,3.24,,,,,,
2/6/2012,2170.4,,2/2/2012,3.14,,,,,,
2/13/2012,2136.6,,2/9/2012,3.16,,,,,,
2/20/2012,2199.2,,2/16/2012,3.16,,,,,,
2/27/2012,2253.2,,2/23/2012,3.19,,,,,,
3/5/2012,2213.4,,3/1/2012,3.17,,,,,,
3/12/2012,2162.5,,3/8/2012,3.13,,,,,,
3/19/2012,2225.1,,3/15/2012,3.16,,,,,,
3/26/2012,2301.9,,3/22/2012,3.3,,,,,,
4/2/2012,2362.6,,3/29/2012,3.23,,,,,,
4/9/2012,2217.5,,4/5/2012,3.21,,,,,,
4/16/2012,2218,,4/12/2012,3.11,,,,,,
4/23/2012,2283.2,,4/19/2012,3.13,,,,,,
4/30/2012,2343.4,,4/26/2012,3.12,,,,,,
5/7/2012,2200.4,,5/3/2012,3.07,,,,,,
5/14/2012,2189.8,,5/10/2012,3.05,,,,,,
5/21/2012,2242,,5/17/2012,3.04,,,,,,
5/28/2012,2314.6,,5/24/2012,3.04,,,,,,
6/4/2012,2278.8,,5/31/2012,2.97,,,,,,
6/11/2012,2205.4,,6/7/2012,2.94,,,,,,
6/18/2012,2242.8,,6/14/2012,2.98,,,,,,
6/25/2012,2309.7,,6/21/2012,2.95,,,,,,
7/2/2012,2373.9,,6/28/2012,2.94,,,,,,
7/9/2012,2270.9,,7/5/2012,2.89,,,,,,
7/16/2012,2252.9,,7/12/2012,2.86,,,,,,
7/23/2012,2307.8,,7/19/2012,2.83,,,,,,
7/30/2012,2407.4,,7/26/2012,2.8,,,,,,
8/6/2012,2295.9,,8/2/2012,2.83,,,,,,
8/13/2012,2268.1,,8/9/2012,2.84,,,,,,
8/20/2012,2312.1,,8/16/2012,2.88,,,,,,
8/27/2012,2392.8,,8/23/2012,2.89,,,,,,
9/3/2012,2474.5,,8/30/2012,2.86,,,,,,
9/10/2012,2284,,9/6/2012,2.86,,,,,,
9/17/2012,2286.7,,9/13/2012,2.85,,,,,,
9/24/2012,2358.8,,9/20/2012,2.77,,,,,,
10/1/2012,2454.9,,9/27/2012,2.73,,,,,,
10/8/2012,2340.6,,10/4/2012,2.69,,,,,,
10/15/2012,2341.7,,10/11/2012,2.7,,,,,,
10/22/2012,2400.2,,10/18/2012,2.66,,,,,,
10/29/2012,2523.7,,10/25/2012,2.72,,,,,,
11/5/2012,2466.6,,11/1/2012,2.7,,,,,,
11/12/2012,2335.6,,11/8/2012,2.69,,,,,,
11/19/2012,2383.3,,11/15/2012,2.65,,,,,,
11/26/2012,2464.6,,11/21/2012,2.63,,,,,,
12/3/2012,2535.2,,11/29/2012,2.64,,,,,,
12/10/2012,2382.9,,12/6/2012,2.67,,,,,,
12/17/2012,2416.1,,12/13/2012,2.66,,,,,,
12/24/2012,2564.4,,12/20/2012,2.65,,,,,,
12/31/2012,2672,,12/27/2012,2.65,,,,,,
1/7/2013,2465.9,,1/3/2013,2.64,,,,,,
1/14/2013,2409.4,,1/10/2013,2.66,,,,,,
1/21/2013,2466.3,,1/17/2013,2.66,,,,,,
1/28/2013,2534.4,,1/24/2013,2.71,,,,,,
2/4/2013,2509,,1/31/2013,2.81,,,,,,
2/11/2013,2397.8,,2/7/2013,2.77,,,,,,
2/18/2013,2435.4,,2/14/2013,2.77,,,,,,
2/25/2013,2493.6,,2/21/2013,2.77,,,,,,
3/4/2013,2478.1,,2/28/2013,2.76,,,,,,
3/11/2013,2381.7,,3/7/2013,2.76,,,,,,
3/18/2013,2438.2,,3/14/2013,2.79,,,,,,
3/25/2013,2547.7,,3/21/2013,2.72,,,,,,
4/1/2013,2670.6,,3/28/2013,2.76,,,,,,
4/8/2013,2451.1,,4/4/2013,2.74,,,,,,
4/15/2013,2482.7,,4/11/2013,2.65,,,,,,
4/22/2013,2571.1,,4/18/2013,2.64,,,,,,
4/29/2013,2651,,4/25/2013,2.61,,,,,,
5/6/2013,2487.4,,5/2/2013,2.56,,,,,,
5/13/2013,2435.1,,5/9/2013,2.61,,,,,,
5/20/2013,2498.2,,5/16/2013,2.69,,,,,,
5/27/2013,2590.2,,5/23/2013,2.77,,,,,,
6/3/2013,2639,,5/30/2013,2.98,,,,,,
6/10/2013,2437,,6/6/2013,3.03,,,,,,
6/17/2013,2457.4,,6/13/2013,3.1,,,,,,
6/24/2013,2537.4,,6/20/2013,3.04,,,,,,
7/1/2013,2629.4,,6/27/2013,3.5,,,,,,
7/8/2013,2467.7,,7/3/2013,3.39,,,,,,
7/15/2013,2466,,7/11/2013,3.53,,,,,,
7/22/2013,2547.5,,7/18/2013,3.41,,,,,,
7/29/2013,2650.4,,7/25/2013,3.39,,,,,,
8/5/2013,2549.3,,8/1/2013,3.43,,,,,,
8/12/2013,2450.3,,8/8/2013,3.43,,,,,,
8/19/2013,2499.5,,8/15/2013,3.44,,,,,,
8/26/2013,2599.4,,8/22/2013,3.6,,,,,,
9/2/2013,2673.4,,8/29/2013,3.54,,,,,,
9/9/2013,2471.7,,9/5/2013,3.59,,,,,,
9/16/2013,2472.1,,9/12/2013,3.59,,,,,,
9/23/2013,2558.5,,9/19/2013,3.54,,,,,,
9/30/2013,2689.2,,9/26/2013,3.37,,,,,,
10/7/2013,2511.3,,10/3/2013,3.29,,,,,,
10/14/2013,2548.2,,10/10/2013,3.31,,,,,,
10/21/2013,2636.9,,10/17/2013,3.33,,,,,,
10/28/2013,2706.5,,10/24/2013,3.24,,,,,,
11/4/2013,2660.9,,10/31/2013,3.2,,,,,,
11/11/2013,2513.7,,11/7/2013,3.27,,,,,,
11/18/2013,2560.5,,11/14/2013,3.35,,,,,,
11/25/2013,2655.7,,11/21/2013,3.27,,,,,,
12/2/2013,2743.2,,11/27/2013,3.3,,,,,,
12/9/2013,2584.2,,12/5/2013,3.47,,,,,,
12/16/2013,2620,,12/12/2013,3.43,,,,,,
12/23/2013,2765,,12/19/2013,3.51,,,,,,
12/30/2013,2874.6,,12/26/2013,3.52,,,,,,
1/6/2014,2717,,1/2/2014,3.55,,,,,,
1/13/2014,2594.8,,1/9/2014,3.56,,,,,,
1/20/2014,2674.9,,1/16/2014,3.45,,,,,,
1/27/2014,2757.3,,1/23/2014,3.44,,,,,,
2/3/2014,2839.2,,1/30/2014,3.4,,,,,,
2/10/2014,2625.6,,2/6/2014,3.33,,,,,,
2/17/2014,2659.6,,2/13/2014,3.33,,,,,,
2/24/2014,2723.9,,2/20/2014,3.35,,,,,,
3/3/2014,2808.7,,2/27/2014,3.39,,,,,,
3/10/2014,2668,,3/6/2014,3.32,,,,,,
3/17/2014,2695.6,,3/13/2014,3.38,,,,,,
3/24/2014,2797.2,,3/20/2014,3.32,,,,,,
3/31/2014,2925.3,,3/27/2014,3.42,,,,,,
4/7/2014,2716,,4/3/2014,3.47,,,,,,
4/14/2014,2732.3,,4/10/2014,3.38,,,,,,
4/21/2014,2836.8,,4/17/2014,3.33,,,,,,
4/28/2014,2908.8,,4/24/2014,3.39,,,,,,
5/5/2014,2794.5,,5/1/2014,3.38,,,,,,
5/12/2014,2692.1,,5/8/2014,3.32,,,,,,
5/19/2014,2747.2,,5/15/2014,3.29,,,,,,
5/26/2014,2840.8,,5/22/2014,3.25,,,,,,
6/2/2014,2910,,5/29/2014,3.21,,,,,,
6/9/2014,2730.9,,6/5/2014,3.23,,,,,,
6/16/2014,2757.7,,6/12/2014,3.31,,,,,,
6/23/2014,2838.1,,6/19/2014,3.3,,,,,,
6/30/2014,2963.5,,6/26/2014,3.22,,,,,,
7/7/2014,2772,,7/3/2014,3.22,,,,,,
7/14/2014,2753.3,,7/10/2014,3.24,,,,,,
7/21/2014,2830.8,,7/17/2014,3.23,,,,,,
7/28/2014,2933,,7/24/2014,3.26,,,,,,
8/4/2014,2896.3,,7/31/2014,3.23,,,,,,
8/11/2014,2698,,8/7/2014,3.27,,,,,,
8/18/2014,2731.7,,8/14/2014,3.24,,,,,,
8/25/2014,2817.6,,8/21/2014,3.23,,,,,,
9/1/2014,2923.1,,8/28/2014,3.25,,,,,,
9/8/2014,2737.7,,9/4/2014,3.24,,,,,,
9/15/2014,2750.6,,9/11/2014,3.26,,,,,,
9/22/2014,2826.5,,9/18/2014,3.37,,,,,,
9/29/2014,2979.3,,9/25/2014,3.36,,,,,,
10/6/2014,2827.3,,10/2/2014,3.36,,,,,,
10/13/2014,2759.7,,10/9/2014,3.3,,,,,,
10/20/2014,2842.7,,10/16/2014,3.18,,,,,,
10/27/2014,2953.2,,10/23/2014,3.08,,,,,,
11/3/2014,3017.7,,10/30/2014,3.13,,,,,,
11/10/2014,2769.9,,11/6/2014,3.21,,,,,,
11/17/2014,2776.7,,11/13/2014,3.2,,,,,,
11/24/2014,2871.1,,11/20/2014,3.17,,,,,,
12/1/2014,2978,,11/26/2014,3.17,,,,,,
12/8/2014,2837.4,,12/4/2014,3.1,,,,,,
12/15/2014,2884.2,,12/11/2014,3.2,,,,,,
12/22/2014,3030.6,,12/18/2014,3.09,,,,,,
12/29/2014,3172.3,,12/24/2014,3.1,,,,,,
1/5/2015,3030.2,,12/31/2014,3.15,,,,,,
1/12/2015,2839,,1/8/2015,3.05,,,,,,
1/19/2015,2871.6,,1/15/2015,2.98,,,,,,
1/26/2015,2978.3,,1/22/2015,2.93,,,,,,
2/2/2015,3093.4,,1/29/2015,2.98,,,,,,
2/9/2015,2898.3,,2/5/2015,2.92,,,,,,
2/16/2015,2927.6,,2/12/2015,2.99,,,,,,
2/23/2015,3005,,2/19/2015,3.05,,,,,,
3/2/2015,3082.6,,2/26/2015,3.07,,,,,,
3/9/2015,2919.7,,3/5/2015,3.03,,,,,,
3/16/2015,2938.3,,3/12/2015,3.1,,,,,,
3/23/2015,3040,,3/19/2015,3.06,,,,,,
3/30/2015,3169.7,,3/26/2015,2.97,,,,,,
4/6/2015,3010.8,,4/2/2015,2.98,,,,,,
4/13/2015,2943.1,,4/9/2015,2.93,,,,,,
4/20/2015,3040.3,,4/16/2015,2.94,,,,,,
4/27/2015,3108.6,,4/23/2015,2.92,,,,,,
5/4/2015,3041.9,,4/30/2015,2.94,,,,,,
5/11/2015,2880.4,,5/7/2015,3.02,,,,,,
5/18/2015,2924.3,,5/14/2015,3.07,,,,,,
5/25/2015,3031.1,,5/21/2015,3.05,,,,,,
6/1/2015,3087.5,,5/28/2015,3.11,,,,,,
6/8/2015,2901.8,,6/4/2015,3.08,,,,,,
6/15/2015,2930.7,,6/11/2015,3.25,,,,,,
6/22/2015,3038,,6/18/2015,3.23,,,,,,
6/29/2015,3188.8,,6/25/2015,3.21,,,,,,
7/6/2015,3026.4,,7/2/2015,3.24,,,,,,
7/13/2015,2930.2,,7/9/2015,3.2,,,,,,
7/20/2015,3006.3,,7/16/2015,3.25,,,,,,
7/27/2015,3114.7,,7/23/2015,3.21,,,,,,
8/3/2015,3188.6,,7/30/2015,3.17,,,,,,
8/10/2015,2915.3,,8/6/2015,3.13,,,,,,
8/17/2015,2946.7,,8/13/2015,3.17,,,,,,
8/24/2015,3032,,8/20/2015,3.15,,,,,,
8/31/2015,3144,,8/27/2015,3.06,,,,,,
9/7/2015,2932.9,,9/3/2015,3.09,,,,,,
9/14/2015,2915.6,,9/10/2015,3.1,,,,,,
9/21/2015,3013.5,,9/17/2015,3.11,,,,,,
9/28/2015,3146.2,,9/24/2015,3.08,,,,,,
10/5/2015,3025.5,,10/1/2015,3.07,,,,,,
10/12/2015,2886.1,,10/8/2015,2.99,,,,,,
10/19/2015,2959.5,,10/15/2015,3.03,,,,,,
10/26/2015,3085.4,,10/22/2015,2.98,,,,,,
11/2/2015,3194.3,,10/29/2015,2.98,,,,,,
11/9/2015,2963.4,,11/5/2015,3.09,,,,,,
11/16/2015,2970.1,,11/12/2015,3.2,,,,,,
11/23/2015,3077.4,,11/19/2015,3.18,,,,,,
11/30/2015,3193.6,,11/25/2015,3.18,,,,,,
12/7/2015,2974.9,,12/3/2015,3.16,,,,,,
12/14/2015,3006.3,,12/10/2015,3.19,,,,,,
12/21/2015,3168.4,,12/17/2015,3.22,,,,,,
12/28/2015,3312,,12/24/2015,3.22,,,,,,
1/4/2016,3314.7,,12/31/2015,3.24,,,,,,
1/11/2016,2986.3,,1/7/2016,3.26,,,,,,
1/18/2016,3006.8,,1/14/2016,3.19,,,,,,
1/25/2016,3103.2,,1/21/2016,3.1,,,,,,
2/1/2016,3176.3,,1/28/2016,3.07,,,,,,
2/8/2016,2986.3,,2/4/2016,3.01,,,,,,
2/15/2016,3042,,2/11/2016,2.95,,,,,,
2/22/2016,3115.5,,2/18/2016,2.95,,,,,,
2/29/2016,3248.4,,2/25/2016,2.93,,,,,,
3/7/2016,3041.5,,3/3/2016,2.94,,,,,,
3/14/2016,3040.2,,3/10/2016,2.96,,,,,,
3/21/2016,3175.6,,3/17/2016,2.99,,,,,,
3/28/2016,3356.8,,3/24/2016,2.96,,,,,,
4/4/2016,3288.1,,3/31/2016,2.98,,,,,,
4/11/2016,3117.8,,4/7/2016,2.88,,,,,,
4/18/2016,3191.6,,4/14/2016,2.86,,,,,,
4/25/2016,3306.9,,4/21/2016,2.85,,,,,,
5/2/2016,3366.5,,4/28/2016,2.89,,,,,,
5/9/2016,3143.6,,5/5/2016,2.86,,,,,,
5/16/2016,3162,,5/12/2016,2.81,,,,,,
5/23/2016,3257,,5/19/2016,2.81,,,,,,
5/30/2016,3345.8,,5/26/2016,2.89,,,,,,
6/6/2016,3167.7,,6/2/2016,2.92,,,,,,
6/13/2016,3136,,6/9/2016,2.87,,,,,,
6/20/2016,3242.3,,6/16/2016,2.81,,,,,,
6/27/2016,3354.4,,6/23/2016,2.83,,,,,,
7/4/2016,3336.6,,6/30/2016,2.78,,,,,,
7/11/2016,3140.7,,7/7/2016,2.74,,,,,,
7/18/2016,3182.4,,7/14/2016,2.72,,,,,,
7/25/2016,3291.5,,7/21/2016,2.75,,,,,,
8/1/2016,3377.3,,7/28/2016,2.78,,,,,,
8/8/2016,3203,,8/4/2016,2.74,,,,,,
8/15/2016,3228.8,,8/11/2016,2.76,,,,,,
8/22/2016,3333.5,,8/18/2016,2.74,,,,,,
8/29/2016,3465.2,,8/25/2016,2.74,,,,,,
9/5/2016,3304.6,,9/1/2016,2.77,,,,,,
9/12/2016,3192.1,,9/8/2016,2.76,,,,,,
9/19/2016,3249.5,,9/15/2016,2.77,,,,,,
9/26/2016,3381.6,,9/22/2016,2.76,,,,,,
10/3/2016,3467,,9/29/2016,2.72,,,,,,
10/10/2016,3227.2,,10/6/2016,2.72,,,,,,
10/17/2016,3229.2,,10/13/2016,2.76,,,,,,
10/24/2016,3330.2,,10/20/2016,2.79,,,,,,
10/31/2016,3482.8,,10/27/2016,2.78,,,,,,
11/7/2016,3227.6,,11/3/2016,2.84,,,,,,
11/14/2016,3231.3,,11/10/2016,2.88,,,,,,
11/21/2016,3341.1,,11/17/2016,3.14,,,,,,
11/28/2016,3463.6,,11/23/2016,3.25,,,,,,
12/5/2016,3332.2,,12/1/2016,3.34,,,,,,
12/12/2016,3234.4,,12/8/2016,3.36,,,,,,
12/19/2016,3340.5,,12/15/2016,3.37,,,,,,
12/26/2016,3519.3,,12/22/2016,3.52,,,,,,
1/2/2017,3571.6,,12/29/2016,3.55,,,,,,
1/9/2017,3306.4,,1/5/2017,3.44,,,,,,
1/16/2017,3297,,1/12/2017,3.37,,,,,,
1/23/2017,3371.8,,1/19/2017,3.34,,,,,,
1/30/2017,3517.9,,1/26/2017,3.4,,,,,,
2/6/2017,3306.5,,2/2/2017,3.41,,,,,,
2/13/2017,3258.5,,2/9/2017,3.39,,,,,,
2/20/2017,3373.9,,2/16/2017,3.35,,,,,,
2/27/2017,3495.8,,2/23/2017,3.37,,,,,,
3/6/2017,3363.3,,3/2/2017,3.32,,,,,,
3/13/2017,3347.9,,3/9/2017,3.42,,,,,,
3/20/2017,3459.2,,3/16/2017,3.5,,,,,,
3/27/2017,3594.6,,3/23/2017,3.44,,,,,,
4/3/2017,3682.9,,3/30/2017,3.39,,,,,,
4/10/2017,3361.9,,4/6/2017,3.36,,,,,,
4/17/2017,3431.8,,4/13/2017,3.34,,,,,,
4/24/2017,3518.4,,4/20/2017,3.23,,,,,,
5/1/2017,3584.5,,4/27/2017,3.27,,,,,,
5/8/2017,3389.5,,5/4/2017,3.27,,,,,,
5/15/2017,3427.2,,5/11/2017,3.29,,,,,,
5/22/2017,3541.3,,5/18/2017,3.27,,,,,,
5/29/2017,3667.7,,5/25/2017,3.19,,,,,,
6/5/2017,3507.5,,6/1/2017,3.19,,,,,,
6/12/2017,3387.5,,6/8/2017,3.16,,,,,,
6/19/2017,3481.5,,6/15/2017,3.18,,,,,,
6/26/2017,3649.9,,6/22/2017,3.17,,,,,,
7/3/2017,3717.8,,6/29/2017,3.17,,,,,,
7/10/2017,3428.6,,7/6/2017,3.22,,,,,,
7/17/2017,3428,,7/13/2017,3.29,,,,,,
7/24/2017,3564.4,,7/20/2017,3.23,,,,,,
7/31/2017,3726,,7/27/2017,3.2,,,,,,
8/7/2017,3460.7,,8/3/2017,3.18,,,,,,
8/14/2017,3464.4,,8/10/2017,3.18,,,,,,
8/21/2017,3612.5,,8/17/2017,3.16,,,,,,
8/28/2017,3729.4,,8/24/2017,3.16,,,,,,
9/4/2017,3624.7,,8/31/2017,3.12,,,,,,
9/11/2017,3439,,9/7/2017,3.08,,,,,,
9/18/2017,3479.5,,9/14/2017,3.08,,,,,,
9/25/2017,3599.2,,9/21/2017,3.13,,,,,,
10/2/2017,3706.2,,9/28/2017,3.13,,,,,,
10/9/2017,3490.8,,10/5/2017,3.15,,,,,,
10/16/2017,3497.7,,10/12/2017,3.21,,,,,,
10/23/2017,3615.3,,10/19/2017,3.19,,,,,,
10/30/2017,3765.2,,10/26/2017,3.25,,,,,,
11/6/2017,3551,,11/2/2017,3.27,,,,,,
11/13/2017,3478.8,,11/9/2017,3.24,,,,,,
11/20/2017,3588.4,,11/16/2017,3.31,,,,,,
11/27/2017,3732.3,,11/22/2017,3.32,,,,,,
12/4/2017,3678.2,,11/30/2017,3.3,,,,,,
12/11/2017,3505.5,,12/7/2017,3.36,,,,,,
12/18/2017,3592,,12/14/2017,3.36,,,,,,
12/25/2017,3746.1,,12/21/2017,3.38,,,,,,
1/1/2018,3825.9,,12/28/2017,3.44,,,,,,
1/8/2018,3587.5,,1/4/2018,3.38,,,,,,
1/15/2018,3568.6,,1/11/2018,3.44,,,,,,
1/22/2018,3630.1,,1/18/2018,3.49,,,,,,
1/29/2018,3754.9,,1/25/2018,3.62,,,,,,
2/5/2018,3602.5,,2/1/2018,3.68,,,,,,
2/12/2018,3455.6,,2/8/2018,3.77,,,,,,
2/19/2018,3538.6,,2/15/2018,3.84,,,,,,
2/26/2018,3676,,2/22/2018,3.85,,,,,,
3/5/2018,3653,,3/1/2018,3.9,,,,,,
3/12/2018,3555.3,,3/8/2018,3.94,,,,,,
3/19/2018,3638.5,,3/15/2018,3.9,,,,,,
3/26/2018,3775.9,,3/22/2018,3.91,,,,,,
4/2/2018,3883.4,,3/29/2018,3.9,,,,,,
4/9/2018,3583.6,,4/5/2018,3.87,,,,,,
4/16/2018,3606.2,,4/12/2018,3.87,,,,,,
4/23/2018,3738.1,,4/19/2018,3.94,,,,,,
4/30/2018,3832.1,,4/26/2018,4.02,,,,,,
5/7/2018,3548.7,,5/3/2018,4.03,,,,,,
5/14/2018,3536.6,,5/10/2018,4.01,,,,,,
5/21/2018,3655.4,,5/17/2018,4.08,,,,,,
5/28/2018,3789.2,,5/24/2018,4.15,,,,,,
6/4/2018,3743.6,,5/31/2018,4.06,,,,,,
6/11/2018,3519.9,,6/7/2018,4.01,,,,,,
6/18/2018,3601.8,,6/14/2018,4.07,,,,,,
6/25/2018,3716.8,,6/21/2018,4.04,,,,,,
7/2/2018,3828.6,,6/28/2018,4.04,,,,,,
7/9/2018,3576.2,,7/5/2018,3.99,,,,,,
7/16/2018,3572.2,,7/12/2018,4.02,,,,,,
7/23/2018,3674.4,,7/19/2018,4,,,,,,
7/30/2018,3845.5,,7/26/2018,4.02,,,,,,
8/6/2018,3634.5,,8/2/2018,4.08,,,,,,
8/13/2018,3563.5,,8/9/2018,4.05,,,,,,
8/20/2018,3656.5,,8/16/2018,4.01,,,,,,
8/27/2018,3804.8,,8/23/2018,3.98,,,,,,
9/3/2018,3911.2,,8/30/2018,3.97,,,,,,
