ACN
BRK-B
EBAY
LIN
PG
ADI
AMD
AMT
AXP
BA
BAC
BDX
BIIB
BLK
CAT
CMCSA
CMG
CRM
CSCO
CSX
CVX
DG
ELV
EXPE
F
FI
FIS
GE
GM
GS
HD
IBM
LMT
MAR
META
MS
MU
NEM
NXPI
OXY
PFE
QCOM
SCHW
SLB
TGT
TXN
USB
VLO
WFC
XOM
