Ticker,Intercept,Slope
AES,23.142249216582243,-0.01648570445367647
APD,288.0878986065709,-0.05232131428319258
ALB,245.63319850728772,-0.3878768870012318
ARE,130.63249306046885,-0.04056569872217496
ALGN,326.5420294241784,-0.1902022467654864
AMCR,10.407112481293078,-0.001292277920178437
AEE,83.99068036191356,-0.019816269642871486
AAL,16.04788479016706,-0.010153090709510796
AWK,144.14005241491412,-0.034041882825534775
APA,42.06630958753369,-0.03310876035102982
APTV,112.2783947342822,-0.10399346779241882
ADM,84.39118987148143,-0.06384933634179349
BBWI,39.718165903108456,-0.0055450006230619376
BAX,43.74179592052139,-0.018220691899693005
BDX,258.4142623922339,-0.05403122480890557
BIO,442.53177363784715,-0.36900141389572605
TECH,77.82404852867992,-0.01418073301190727
BIIB,300.371136160397,-0.23486383692984364
BA,224.9040785250712,-0.117043264012205
BWA,42.87310161101759,-0.0249461551530886
BMY,70.54671607036643,-0.06284364708245328
CZR,51.05382650838556,-0.029430260386814643
CPB,49.519650935185986,-0.01259626395538881
CNP,29.153065982407114,-0.001697575261315282
CHRW,93.42426194617047,-0.012181677392727162
CRL,213.31083501477477,-0.001498584312626433
CHTR,393.64758615435903,-0.18231967847826128
CVX,165.92957213737432,-0.0397877972226685
CSCO,50.255945782834736,-0.0005868753965588687
CLX,151.55992587340108,-0.01465265444607767
CAG,35.528450498705496,-0.017489122182500233
CTVA,57.06925128862116,-0.010240058592993068
CCI,124.75178193667503,-0.05770302856932692
CVS,81.53925353500145,-0.04984970710877877
DAY,72.03389103422681,-0.03121322604216182
DE,403.45172510251155,-0.0508929079838519
DVN,54.95290688301269,-0.0286716527679941
DXCM,123.43571070293126,-0.06082765999170451
DG,214.78019816719882,-0.2776954058305723
DLTR,157.8581391874595,-0.14666413529081554
D,52.981085470376726,-0.005408452046344474
DOW,54.53260438744709,-0.0019173754565844792
EW,82.59310067727081,-0.013725315372058039
ENPH,197.4227936746036,-0.2552274891440711
EPAM,305.1213672528762,-0.2341393323752557
EL,243.24883412197102,-0.37061950178565123
ETSY,113.13903584865086,-0.1503398379193974
EVRG,58.45747600258421,-0.010322505577209914
ES,74.75942446267022,-0.039862750225416854
EXC,41.728097586424774,-0.011858101317300394
FMC,118.21812310024913,-0.16887946285485514
F,12.869008128542031,-0.003346590378141091
BEN,29.209587621741004,-0.016412555859658208
GIS,79.84589036385104,-0.03471975449303311
GPC,167.55331028025955,-0.0760025666551747
GILD,80.88881470716964,-0.015837416980511086
GPN,112.98401864736189,-0.0023582891847882723
GL,119.0569392603372,-0.04910082507293986
HAL,37.70182291693417,-0.009812680743251465
DOC,21.903722152941082,-0.006262685646350338
HSIC,81.22085243854906,-0.02972348659840621
HSY,247.64725634834446,-0.15689093455475572
HOLX,78.09815512528917,-0.005242204799114451
HRL,42.685212398457466,-0.02980325219106939
HUM,543.736413682247,-0.5197955061985768
IEX,220.67098425112178,-0.02812786918612572
ILMN,202.00343937354123,-0.22433794385020447
INCY,70.62414028783373,-0.02975793989277055
PODD,284.2523228509959,-0.26058252092853507
INTC,34.90148621832058,-0.0069731399674666005
IPG,36.56935578984755,-0.016058843976039648
IVZ,16.544556500151494,-0.0017451719950818908
JBHT,187.34634060063547,-0.027671815935428532
JNJ,162.31721542991988,-0.016493820763984514
KVUE,23.514383568068556,-0.01132874395467385
KEYS,160.19200741715622,-0.042630901805459025
KHC,38.45796798667962,-0.010404928287257312
LW,113.23152603864608,-0.08550051205782004
LVS,58.77354964552974,-0.03455578367301389
LKQ,58.76906175354727,-0.04219771221072574
LULU,388.10842107066424,-0.11787043627397022
MKTX,316.90028776895156,-0.24672575952045295
MTCH,42.19613423207971,-0.021321464146399054
MKC,80.19604381837235,-0.017144099073762124
MTD,1348.2252352682624,-0.11924462258870275
MGM,43.02214702828657,-0.005672328393465361
MAA,148.32331110057874,-0.023235857479649222
MRNA,149.71123882006685,-0.15948185607972895
TAP,59.952311736382015,-0.004719065845722195
MNST,55.536741169882454,-0.006933397120082408
MOS,46.2788005298417,-0.047926828391574826
NKE,125.5894404702332,-0.10208854774427999
OXY,63.2116891505843,-0.011539946146787553
ON,85.87561841941198,-0.031233022127310325
PARA,20.306657643797134,-0.025382105798002715
PAYC,327.9497789188888,-0.4251629496685042
PYPL,69.01429652355407,-0.01145420788628118
PEP,180.33131600808366,-0.025953724075505873
PFE,41.66683030597277,-0.03792569897047742
PPG,138.0892405981155,-0.01513563836354186
PLD,122.30509078982487,-0.005958361851612914
O,60.888685130941916,-0.013435055574479856
RVTY,123.22668781758277,-0.03815533508186358
RHI,80.22435148162684,-0.028383716600675946
ROK,298.20394624122986,-0.06647776005247387
SBAC,255.02581628990237,-0.11084812017548665
SLB,55.53025888299237,-0.02191875017606749
SWKS,108.32028232561017,-0.019460896866484022
SJM,154.53552837945531,-0.10386158448037996
LUV,33.1120792544353,-0.013162150748960062
SBUX,106.10275344718092,-0.04887353928929185
TROW,110.83016046286845,-0.0021506420720761948
TFX,241.09628007266457,-0.04524684254573465
ULTA,514.382487558114,-0.2940226826074308
UPS,188.73228413294538,-0.13626095387312723
VRSN,220.41799484857412,-0.09388336652525434
VICI,31.97766127904738,-0.004538219352089882
WBA,37.60353341398235,-0.0634812560285279
WBD,14.690657302099268,-0.01742441787213557
WEC,89.80941613878129,-0.012631962251530196
WST,348.22730112423113,-0.02220124875952558
WYNN,107.04075171384764,-0.044700371361256756
XEL,66.27101423186812,-0.023347311277261276
ZBH,133.11160324330797,-0.053643506928022604
