Stock,Sector,,,
CI,^SP500-35,,,
COO,^SP500-35,,,
CVS,^SP500-35,,,
DHR,^SP500-35,,,
DVA,^SP500-35,,,
DXCM,^SP500-35,,,
EW,^SP500-35,,,
ELV,^SP500-35,,,
GEHC,^SP500-35,,,
GILD,^SP500-35,,,
HCA,^SP500-35,,,
HSIC,^SP500-35,,,
HOLX,^SP500-35,,,
HUM,^SP500-35,,,
IDXX,^SP500-35,,,
INCY,^SP500-35,,,
PODD,^SP500-35,,,
ISRG,^SP500-35,,,
IQV,^SP500-35,,,
JNJ,^SP500-35,,,
LH,^SP500-35,,,
LLY,^SP500-35,,,
MCK,^SP500-35,,,
MDT,^SP500-35,,,
MRK,^SP500-35,,,
MTD,^SP500-35,,,
MRNA,^SP500-35,,,
MOH,^SP500-35,,,
PFE,^SP500-35,,,
DGX,^SP500-35,,,
REGN,^SP500-35,,,
RMD,^SP500-35,,,
RVTY,^SP500-35,,,
SOLV,^SP500-35,,,
STE,^SP500-35,,,
SYK,^SP500-35,,,
TFX,^SP500-35,,,
TMO,^SP500-35,,,
UNH,^SP500-35,,,
UHS,^SP500-35,,,
VRTX,^SP500-35,,,
VTRS,^SP500-35,,,
WAT,^SP500-35,,,
WST,^SP500-35,,,
ZBH,^SP500-35,,,
ZTS,^SP500-35,,,
MMM,^SP500-20,,,
AOS,^SP500-20,,,
ALLE,^SP500-20,,,
AAL,^SP500-20,,,
AME,^SP500-20,,,
ADP,^SP500-20,,,
AXON,^SP500-20,,,
BA,^SP500-20,,,
BR,^SP500-20,,,
BLDR,^SP500-20,,,
CARR,^SP500-20,,,
CAT,^SP500-20,,,
CHRW,^SP500-20,,,
CTAS,^SP500-20,,,
CPRT,^SP500-20,,,
CSX,^SP500-20,,,
CMI,^SP500-20,,,
DAY,^SP500-20,,,
DE,^SP500-20,,,
DAL,^SP500-20,,,
DOV,^SP500-20,,,
ETN,^SP500-20,,,
EMR,^SP500-20,,,
EFX,^SP500-20,,,
EXPD,^SP500-20,,,
FAST,^SP500-20,,,
FDX,^SP500-20,,,
FTV,^SP500-20,,,
GE,^SP500-20,,,
GEV,^SP500-20,,,
GNRC,^SP500-20,,,
GD,^SP500-20,,,
HON,^SP500-20,,,
HWM,^SP500-20,,,
HUBB,^SP500-20,,,
HII,^SP500-20,,,
IEX,^SP500-20,,,
ITW,^SP500-20,,,
IR,^SP500-20,,,
JBHT,^SP500-20,,,
J,^SP500-20,,,
JCI,^SP500-20,,,
LHX,^SP500-20,,,
LDOS,^SP500-20,,,
LMT,^SP500-20,,,
MAS,^SP500-20,,,
NDSN,^SP500-20,,,
NSC,^SP500-20,,,
NOC,^SP500-20,,,
ODFL,^SP500-20,,,
OTIS,^SP500-20,,,
PCAR,^SP500-20,,,
PH,^SP500-20,,,
PAYX,^SP500-20,,,
PAYC,^SP500-20,,,
PNR,^SP500-20,,,
PWR,^SP500-20,,,
RTX,^SP500-20,,,
RSG,^SP500-20,,,
ROK,^SP500-20,,,
ROL,^SP500-20,,,
SNA,^SP500-20,,,
LUV,^SP500-20,,,
SWK,^SP500-20,,,
TXT,^SP500-20,,,
TT,^SP500-20,,,
TDG,^SP500-20,,,
UBER,^SP500-20,,,
UNP,^SP500-20,,,
UAL,^SP500-20,,,
UPS,^SP500-20,,,
URI,^SP500-20,,,
VLTO,^SP500-20,,,
VRSK,^SP500-20,,,
GWW,^SP500-20,,,
WAB,^SP500-20,,,
WM,^SP500-20,,,
XYL,^SP500-20,,,
ACN,^SP500-45,,,
ADBE,^SP500-45,,,
AMD,^SP500-45,,,
AKAM,^SP500-45,,,
APH,^SP500-45,,,
ADI,^SP500-45,,,
ANSS,^SP500-45,,,
AAPL,^SP500-45,,,
AMAT,^SP500-45,,,
ANET,^SP500-45,,,
ADSK,^SP500-45,,,
AVGO,^SP500-45,,,
CDNS,^SP500-45,,,
CDW,^SP500-45,,,
CSCO,^SP500-45,,,
CTSH,^SP500-45,,,
GLW,^SP500-45,,,
CRWD,^SP500-45,,,
ENPH,^SP500-45,,,
EPAM,^SP500-45,,,
FFIV,^SP500-45,,,
FICO,^SP500-45,,,
FSLR,^SP500-45,,,
FTNT,^SP500-45,,,
IT,^SP500-45,,,
GEN,^SP500-45,,,
GDDY,^SP500-45,,,
HPE,^SP500-45,,,
HPQ,^SP500-45,,,
IBM,^SP500-45,,,
INTC,^SP500-45,,,
INTU,^SP500-45,,,
JBL,^SP500-45,,,
JNPR,^SP500-45,,,
KEYS,^SP500-45,,,
KLAC,^SP500-45,,,
LRCX,^SP500-45,,,
MCHP,^SP500-45,,,
MU,^SP500-45,,,
MSFT,^SP500-45,,,
MPWR,^SP500-45,,,
MSI,^SP500-45,,,
NTAP,^SP500-45,,,
NVDA,^SP500-45,,,
NXPI,^SP500-45,,,
ON,^SP500-45,,,
ORCL,^SP500-45,,,
PANW,^SP500-45,,,
PTC,^SP500-45,,,
QRVO,^SP500-45,,,
QCOM,^SP500-45,,,
ROP,^SP500-45,,,
CRM,^SP500-45,,,
STX,^SP500-45,,,
NOW,^SP500-45,,,
SWKS,^SP500-45,,,
SMCI,^SP500-45,,,
SNPS,^SP500-45,,,
TEL,^SP500-45,,,
TDY,^SP500-45,,,
TER,^SP500-45,,,
TXN,^SP500-45,,,
TRMB,^SP500-45,,,
TYL,^SP500-45,,,
VRSN,^SP500-45,,,
WDC,^SP500-45,,,
ZBRA,^SP500-45,,,
APD,^SP500-15,,,
ALB,^SP500-15,,,
AMCR,^SP500-15,,,
AVY,^SP500-15,,,
BALL,^SP500-15,,,
CE,^SP500-15,,,
CF,^SP500-15,,,
CTVA,^SP500-15,,,
DOW,^SP500-15,,,
DD,^SP500-15,,,
EMN,^SP500-15,,,
ECL,^SP500-15,,,
FMC,^SP500-15,,,
FCX,^SP500-15,,,
IFF,^SP500-15,,,
IP,^SP500-15,,,
LIN,^SP500-15,,,
LYB,^SP500-15,,,
MLM,^SP500-15,,,
MOS,^SP500-15,,,
NEM,^SP500-15,,,
NUE,^SP500-15,,,
PKG,^SP500-15,,,
PPG,^SP500-15,,,
SHW,^SP500-15,,,
SW,^SP500-15,,,
STLD,^SP500-15,,,
VMC,^SP500-15,,,
ARE,^SP500-60,,,
AMT,^SP500-60,,,
AVB,^SP500-60,,,
BXP,^SP500-60,,,
CPT,^SP500-60,,,
CBRE,^SP500-60,,,
CSGP,^SP500-60,,,
CCI,^SP500-60,,,
DLR,^SP500-60,,,
EQIX,^SP500-60,,,
EQR,^SP500-60,,,
ESS,^SP500-60,,,
EXR,^SP500-60,,,
FRT,^SP500-60,,,
DOC,^SP500-60,,,
HST,^SP500-60,,,
INVH,^SP500-60,,,
IRM,^SP500-60,,,
KIM,^SP500-60,,,
MAA,^SP500-60,,,
PLD,^SP500-60,,,
PSA,^SP500-60,,,
O,^SP500-60,,,
REG,^SP500-60,,,
SBAC,^SP500-60,,,
SPG,^SP500-60,,,
UDR,^SP500-60,,,
VTR,^SP500-60,,,
VICI,^SP500-60,,,
WELL,^SP500-60,,,
WY,^SP500-60,,,
AES,^SP500-55,,,
LNT,^SP500-55,,,
AEE,^SP500-55,,,
AEP,^SP500-55,,,
AWK,^SP500-55,,,
ATO,^SP500-55,,,
CNP,^SP500-55,,,
CMS,^SP500-55,,,
ED,^SP500-55,,,
CEG,^SP500-55,,,
D,^SP500-55,,,
DTE,^SP500-55,,,
