DATE,MORTGAGE15US
2014-06-01,3.2650000000000000
2014-07-01,3.2360000000000000
2014-08-01,3.2475000000000000
2014-09-01,3.3075000000000000
2014-10-01,3.2100000000000000
2014-11-01,3.1875000000000000
2014-12-01,3.1280000000000000
2015-01-01,2.9850000000000000
2015-02-01,3.0075000000000000
2015-03-01,3.0400000000000000
2015-04-01,2.9420000000000000
2015-05-01,3.0625000000000000
2015-06-01,3.1925000000000000
2015-07-01,3.2140000000000000
2015-08-01,3.1275000000000000
2015-09-01,3.0950000000000000
2015-10-01,3.0100000000000000
2015-11-01,3.1625000000000000
2015-12-01,3.2060000000000000
2016-01-01,3.1550000000000000
2016-02-01,2.9600000000000000
2016-03-01,2.9660000000000000
2016-04-01,2.8700000000000000
2016-05-01,2.8425000000000000
2016-06-01,2.8420000000000000
2016-07-01,2.7475000000000000
2016-08-01,2.7450000000000000
2016-09-01,2.7560000000000000
2016-10-01,2.7625000000000000
2016-11-01,3.0275000000000000
2016-12-01,3.4280000000000000
2017-01-01,3.3875000000000000
2017-02-01,3.3800000000000000
2017-03-01,3.4140000000000000
2017-04-01,3.3000000000000000
2017-05-01,3.2550000000000000
2017-06-01,3.1740000000000000
2017-07-01,3.2350000000000000
2017-08-01,3.1600000000000000
2017-09-01,3.1050000000000000
2017-10-01,3.2000000000000000
2017-11-01,3.2880000000000000
2017-12-01,3.3850000000000000
2018-01-01,3.4825000000000000
2018-02-01,3.7850000000000000
2018-03-01,3.9100000000000000
2018-04-01,3.9250000000000000
2018-05-01,4.0660000000000000
2018-06-01,4.0400000000000000
2018-07-01,4.0075000000000000
2018-08-01,4.0180000000000000
2018-09-01,4.0800000000000000
2018-10-01,4.2475000000000000
2018-11-01,4.2820000000000000
2018-12-01,4.0900000000000000
2019-01-01,3.9060000000000000
2019-02-01,3.8000000000000000
2019-03-01,3.7175000000000000
2019-04-01,3.6050000000000000
2019-05-01,3.5340000000000000
2019-06-01,3.2375000000000000
2019-07-01,3.2025000000000000
2019-08-01,3.0820000000000000
2019-09-01,3.1150000000000000
2019-10-01,3.1420000000000000
2019-11-01,3.1575000000000000
2019-12-01,3.1775000000000000
2020-01-01,3.0720000000000000
2020-02-01,2.9700000000000000
2020-03-01,2.8850000000000000
2020-04-01,2.8040000000000000
2020-05-01,2.6925000000000000
2020-06-01,2.6025000000000000
2020-07-01,2.5200000000000000
2020-08-01,2.4750000000000000
2020-09-01,2.3850000000000000
2020-10-01,2.3460000000000000
2020-11-01,2.3050000000000000
2020-12-01,2.2180000000000000
2021-01-01,2.2000000000000000
2021-02-01,2.2375000000000000
2021-03-01,2.3925000000000000
2021-04-01,2.3640000000000000
2021-05-01,2.2800000000000000
2021-06-01,2.2700000000000000
2021-07-01,2.1800000000000000
2021-08-01,2.1450000000000000
2021-09-01,2.1840000000000000
2021-10-01,2.3075000000000000
2021-11-01,2.3575000000000000
2021-12-01,2.3480000000000000
2022-01-01,2.6600000000000000
2022-02-01,2.9975000000000000
2022-03-01,3.3900000000000000
2022-04-01,4.2150000000000000
2022-05-01,4.4350000000000000
2022-06-01,4.6520000000000000
2022-07-01,4.6125000000000000
2022-08-01,4.5625000000000000
2022-09-01,5.3500000000000000
2022-10-01,6.1450000000000000
2022-11-01,6.1375000000000000
2022-12-01,5.6680000000000000
2023-01-01,5.4250000000000000
2023-02-01,5.4150000000000000
2023-03-01,5.7960000000000000
2023-04-01,5.6625000000000000
2023-05-01,5.8075000000000000
2023-06-01,6.0880000000000000
2023-07-01,6.1775000000000000
2023-08-01,6.4300000000000000
2023-09-01,6.5725000000000000
2023-10-01,6.9050000000000000
2023-11-01,6.7660000000000000
2023-12-01,6.1375000000000000
2024-01-01,5.8700000000000000
2024-02-01,6.1020000000000000
2024-03-01,6.1750000000000000
2024-04-01,6.2625000000000000
2024-05-01,6.3460000000000000
2024-06-01,6.1875000000000000
