Date,Price,Close,High,Low,Open,Volume,Returns,MA5,MA10,MA20,MA50,MA200,Price_to_MA5,Price_to_MA10,Price_to_MA20,Price_to_MA50,Price_to_MA200,MA5_cross_MA10,MA10_cross_MA20,MA20_cross_MA50,MA50_cross_MA200,Volatility,PrevClose,TR,ATR14,ATR_Ratio,RSI,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Positive,MACD_Cross_Signal,BB_Middle,BB_StdDev,BB_Upper,BB_Lower,BB_Width,BB_Position,Volume_Change,Volume_MA10,Relative_Volume,Volume_Price_Trend,OBV,OBV_MA20,OBV_Signal,Body_Size,Upper_Shadow,Lower_Shadow,Is_Bullish,Gap_Up,Gap_Down,Returns_5d,Returns_10d,Returns_20d,Target,Buy_Probability,Buy_Signal
2015-10-16,260.1824645996094,260.1824645996094,260.5363783615946,255.8255284224617,257.4456211093954,741900,0.015968842376008263,253.19254455566406,251.1438201904297,243.84671325683593,243.92449005126954,270.46133781433105,1.027607132177656,1.035989913677056,1.0669918865199857,1.0666516697233748,0.9619950367110215,1,1,0,0,0.016549290501252326,256.09295654296875,4.710849939132885,5.841111398999471,0.022450057916040822,84.20460263521319,249.75509444661347,246.18635748767053,3.568736958942935,1.393383574087726,2.1753533848552093,1,0,243.84671325683593,8.676197591810269,261.1991084404565,226.4943180732154,0.14232215765273673,0.9707059506745573,0.007331975560081361,810560.0,0.9152931306750888,-8392587.9241943,-12863000,-13750475.0,1,0.5809659669859354,0.07512736906460565,0.343906663949459,1,0,0,0.03998605001622968,0.09055212912725286,0.07109747219806062,1,0.5586965537606579,1
2015-10-19,257.8625183105469,257.8625183105469,259.5612616787818,256.6985578543481,259.0107343277233,584300,-0.008916612780314082,255.11463317871093,252.2660934448242,244.4558204650879,243.89860748291017,270.37428062438966,1.0107711780292548,1.0221846098669092,1.0548430297955358,1.0572529337979724,0.9537242881055524,1,1,1,0,0.016666587574229095,260.1824645996094,3.4839067452612653,5.7815601971976225,0.022421095687256188,80.59139134850896,251.00239042568012,247.05125828936508,3.9511321363150387,1.9049332865331887,2.0461988497818497,1,0,244.4558204650879,9.222147071664072,262.90011460841606,226.01152632175976,0.15090083850928215,0.8634375417480686,-0.21242755088286835,775370.0,0.7535757122406077,-9748132.54089352,-13447300,-13824735.0,1,0.4010949394681303,0.19231027197423173,0.406594788557638,0,0,0,0.038712438184749676,0.045502523078598145,0.04958533707631041,1,0.625484130900221,1
2015-10-20,257.2884216308594,257.2884216308594,258.24789647212054,256.3289467895981,256.7536386703325,443200,-0.0022263673039759624,257.0068359375,253.40016174316406,245.3531692504883,243.80282623291015,270.3199649810791,1.0010956350337228,1.015344346510861,1.0486451934443366,1.0553135318663867,0.9517921536016333,1,1,1,0,0.015336134039237012,257.8625183105469,1.9189496825224523,5.4607956865069,0.021224412866668728,78.03196113413489,251.96947214955387,247.8095666850313,4.159905464522552,2.3559277221310615,1.8039777423914907,1,0,245.3531692504883,9.565084709463207,264.4833386694147,226.22299983156188,0.15593985989556025,0.8119484234301384,-0.24148553825089847,747130.0,0.5932033247226052,-10002572.18933102,-13890500,-13880425.0,0,0.2786852440153012,0.49999999999997036,0.22131475598472844,1,0,0,0.03817581709998441,0.04611013317611379,0.07498482195094924,1,0.55871863156,1
2015-10-21,253.22239685058597,253.22239685058597,258.8376643622332,252.9943185340864,257.6737281276797,625700,-0.01580337255170805,256.92975158691405,253.5055419921875,246.08928833007812,243.71303466796874,270.2661541748047,0.985570551041949,0.9988830810585977,1.028985855373519,1.0390186852154735,0.9369371374811697,1,1,1,0,0.015878355254243262,257.2884216308594,5.843345828146823,5.470344515833617,0.02160292526992151,73.03760190316433,252.1622297958665,248.210517067665,3.9517127282014997,2.675084723345149,1.2766280048563505,1,0,246.08928833007812,9.57641747618761,265.24212328245335,226.9364533777029,0.1556576077109512,0.6862154751044632,0.41177797833935026,699380.0,0.8946495467413995,-12546683.894348092,-14516200,-13944660.0,0,0.7617778252404793,0.1991900306408324,0.03903214411868825,0,0,0,-0.0015197550101252455,0.004178960083857541,0.06172905932866346,1,0.55874484614491,1
2015-10-22,263.7373962402344,263.7373962402344,264.1463437459548,253.87525476931071,254.7718239942471,722000,0.04152476052840148,258.45863952636716,254.82522583007812,247.45929183959962,243.87836853027343,270.2369844055176,1.020423990173208,1.0349736584403109,1.0657809382691763,1.0814300498631382,0.9759485616686354,1,1,1,0,0.017753965299895893,253.22239685058597,10.923946895368857,5.450689252444497,0.020667108002687444,75.59625917748723,253.94302463346156,249.3606562656331,4.582368367828451,3.0565414522418095,1.5258269155866415,1,0,247.45929183959962,10.0558032840351,267.5708984076698,227.34768527152943,0.1625447678166501,0.9046942830136302,0.15390762346172293,706230.0,1.022329835889158,-4954854.335021941,-13794200,-13936470.0,1,0.8728940296763573,0.03981539899521582,0.08729057132842685,1,0,0,0.029850253597204945,0.05267346130126627,0.11593627908210968,1,0.5966056356511301,1
2015-10-23,268.015625,268.015625,268.37738706530763,264.35861925111175,266.03374585816726,959000,0.01622154772419404,260.0252716064453,256.60890808105466,248.94608154296876,244.14832275390626,270.2134638977051,1.030729141610698,1.0444517573619942,1.0766010990767083,1.0977573877095654,0.9918662865054825,1,1,1,0,0.01790449147074092,263.7373962402344,4.639990825073255,5.166999024501253,0.019278723113629114,73.56116457043402,256.10804007446745,250.74250580151215,5.365534272955301,3.518340016384508,1.847194256570793,1,0,248.94608154296876,10.798035572012923,270.5421526869946,227.3500103989429,0.1734999885129608,0.9415049230449142,0.32825484764542945,744050.0,1.2888918755459982,-852032.9544067066,-12835200,-13912615.0,1,0.49315592078545856,0.09001815532356533,0.4168259238909761,1,1,0,0.030106411715504988,0.07129629821640004,0.1247935838757237,1,0.558654258422361,1
2015-10-26,265.0507507324219,265.0507507324219,267.7011211958958,264.1777982063873,267.3236145896603,600100,-0.011062318727044884,261.4629180908203,258.2887756347656,250.63538665771483,244.32414978027344,270.1912850952148,1.0137221471702358,1.026179903021485,1.057515278536441,1.084832387509742,0.9809744627367184,1,1,1,0,0.01639518814706047,268.015625,3.8378267936126917,5.241707955055792,0.019776242627388297,70.05133215346797,257.48384171415273,251.80237579639436,5.6814659177583735,3.950965196659282,1.7305007210990917,1,0,250.63538665771483,10.525673199370727,271.68673305645626,229.58404025897337,0.16798383244653822,0.8423857980781904,-0.37424400417101145,742740.0,0.8079543312599294,-2631254.0023803394,-13435300,-13882140.0,1,0.6450909734947365,0.10714504669586489,0.24776397980939854,0,0,0,0.02787622051072236,0.06766781515881792,0.14609280978823125,1,0.5587531329199429,1
2015-10-27,263.9103698730469,263.9103698730469,264.35865440528033,261.9127700281854,264.0440536103068,388400,-0.004302500016407307,262.7873077392578,259.8970718383789,252.28890991210938,244.45858276367187,270.17227844238283,1.004273654399258,1.0154418747632667,1.0460640936019983,1.0795708904529642,0.9768225348454047,1,1,1,0,0.016473962100362775,265.0507507324219,3.1379807042364973,4.9833038186482,0.01888256161000949,63.796066580347386,258.4725383539826,252.69926424651678,5.773274107465824,4.31542697882059,1.4578471286452332,1,0,252.28890991210938,9.826621798496774,271.9421535091029,232.63566631511583,0.15579950465393191,0.7956626447838689,-0.35277453757707045,692580.0,0.5608016402437264,-3074177.9281615894,-13823700,-13831380.0,1,0.05465660540286068,0.12862455720299326,0.8167188373941461,0,0,0,0.025737451379324927,0.06489581671578626,0.14326147430475444,1,0.6371704951893229,1
2015-10-28,272.3647766113281,272.3647766113281,272.3726248314932,264.2406927075284,264.74403482771515,950900,0.032035144137565474,266.61578369140625,261.7727676391602,254.20982666015624,244.7716326904297,270.19149291992187,1.0215628378797559,1.040462608344228,1.0714171839448305,1.112730154297726,1.0080434941452814,1,1,1,0,0.01736608278552999,263.9103698730469,8.462254958446351,5.364729622083262,0.01969685540409976,72.09771574702044,260.6098057781896,254.1559688661324,6.45383691205717,4.743108965467907,1.7107279465892633,1,0,254.20982666015624,9.80731006142395,273.82444678300413,234.59520653730834,0.15431834701708805,0.9627912709363224,1.448249227600412,675200.0,1.4083234597156398,4965117.439270051,-12872800,-13770885.0,1,0.9371378987724988,0.0009651113714995999,0.06189698985600164,1,0,0,0.07559512902027032,0.07396048793407561,0.1642185052694658,0,0.30345265046703995,0
2015-10-29,275.14874267578125,275.14874267578125,276.03743939944604,270.1469075240409,271.8613712206562,929500,0.010221461449936076,268.89805297851564,263.67834625244143,256.3308929443359,245.22564270019532,270.233231048584,1.023245574402746,1.0435014728602638,1.0734123363567096,1.1220227201613207,1.0181898858557241,1,1,1,0,0.01709963153883325,272.3647766113281,5.890531875405145,5.454048146042443,0.019822180879340474,74.10068848590245,262.846565300896,255.71098914832862,7.135576152567353,5.221602402887797,1.9139737496795561,1,0,256.3308929443359,9.499166493370037,275.329225931076,237.33255995759583,0.14823287796891266,0.9952500238989201,-0.02250499526764116,694500.0,1.3383729301655867,7552813.896179231,-11943300,-13623200.0,1,0.5580771863489702,0.15086867238175664,0.29105414126927315,1,0,0,0.0432678361060046,0.07440964558357632,0.18227902080405856,0,0.18022289204500289,0
