stock
AAPL
ABBV
ABT
ACN
ADBE
ADI
ADP
AIG
AMAT
AMD
AMGN
AMT
AMZN
AVGO
AXP
AZO
BA
BAC
BDX
BIIB
BKNG
BMY
BRK-B
C
CAT
CHTR
CMCSA
CMG
COP
COST
CRM
CSCO
CSX
CTSH
CVS
CVX
DAL
DD
DE
DG
DHR
DIS
DLTR
EA
EBAY
ELV
EOG
EXPE
F
FCX
FDX
GE
GILD
GM
GOOG
GOOGL
GS
HAL
HD
HON
HUM
IBM
INTC
ISRG
JNJ
JPM
KO
KR
LLY
LMT
LOW
LUV
MA
MAR
MCD
MCK
MDLZ
MDT
META
MGM
MMM
MO
MRK
MS
MSFT
MU
NEE
NFLX
NKE
NOC
NVDA
NXPI
ORCL
ORLY
OXY
PANW
PEP
PFE
PG
PM
PNC
PYPL
QCOM
REGN
RTX
SBUX
SCHW
SHW
SLB
STZ
T
TGT
TJX
TMO
TMUS
TSLA
TXN
UAL
ULTA
UNH
UNP
UPS
USB
V
VLO
VRTX
VZ
WBA
WDC
WFC
WMT
WYNN
XOM
ADSK
BLK
MPC
CI
BSX
NOW
INTU
LIN
ALGN
EL
LULU
LRCX
FIS
CCL
FI
PARA
SPGI
MRNA
UBER
RCL
CRWD
NEM
