Stock,Monthly Return
EBAY,0.13954126644532572
ACN,0.0957004646015478
CMG,0.09036374112555112
FIS,0.08126418858548656
HD,0.07608253789892361
MAR,0.06896851358266853
AMD,0.06830581064354835
AXP,0.06761784188411402
GM,0.06729511006440192
AMT,0.06503186692439256
